SLOPE,X,Y,ELEV,TEMP,PRED
Eastern,-77.55591,-1.09258,374,23.94166946,0.394444444
Eastern,-77.619978,-1.0701,394,23.97916985,0.568055556
Eastern,-77.629993,-1.066233,438,24,1
Eastern,-77.88776,-0.94395,741,22.62916946,0.241666667
Eastern,-77.89841,-0.98058,746,22.42082977,0.758333333
Eastern,-77.7815,-0.82875,808,21.98332977,0.341666667
Eastern,-77.81417,-0.78807,1114,21.14583015,0.275
Eastern,-77.82213,-0.69091,1348,19.52916908,0.217989418
Eastern,-77.643931,-0.151675,1349,19.62916946,0.05
Eastern,-77.7889,-0.65769,1646,18.91666985,0.069230769
Eastern,-77.86452,-0.44814,1754,17.83333015,0.016666667
Eastern,-77.87129,-0.47595,1851,17.98749924,0
Eastern,-77.875687,-0.580838,2049,17.3125,0
Eastern,-77.890775,-0.600828,2110,16.10000038,0
Eastern,-78.027578,-0.41557,2388,14.40832996,0
Eastern,-78.01672,-0.42886,2630,15.00833035,0.011111111
Eastern,-78.101673,-0.370877,2844,9.658333778,0
Eastern,-78.106256,-0.370344,2879,9.658333778,0
Eastern,-78.146452,-0.37277,3263,6.5,0
Eastern,-78.14971,-0.37985,3368,8.3125,0
Eastern,-78.151629,-0.350609,3448,5.474999905,0
Eastern,-78.187392,-0.376644,3549,7.612500191,0
Eastern,-78.192222,-0.372662,3682,5.983333111,0
Eastern,-78.192411,-0.362183,3792,5.625,0
Western,-79.23214,0.11134,171,24.68333054,0.653174603
Western,-79.188274,0.098143,215,24.26250076,0.235582011
Western,-79.20607,0.10625,217,24.61249924,0.384126984
Western,-78.9118,0.18114,541,23.1875,0.37202381
Western,-78.93984,0.15455,600,22.42917061,0.267460317
Western,-79.05014,0.07596,630,22.59583092,0.215097403
Western,-78.7859,-0.05636,1241,18.69166946,0.206613757
Western,-78.79381,-0.06252,1301,18.66250038,0.201984127
Western,-78.75363,-0.0729,1378,18.97916985,0.203108466
Western,-78.7474,-0.0281,1615,17.16666985,0.011111111
Western,-78.67991,0.02146,1781,17.31666946,0.047619048
Western,-78.67692,-0.00355,1876,16.88750076,0.011904762
Western,-78.6976,0.01134,2139,17.68333054,0.011111111
Western,-78.68777,-0.00752,2320,17.21249962,0
Western,-78.68619,-0.02292,2385,15.97916985,0.022222222
Western,-78.50917,0.04301,2554,16.15833092,0
Western,-78.508747,0.037057,2726,15.66666985,0.023015873
Western,-78.51006,0.0319,2927,15.4375,0
Western,-78.591703,-0.273618,3298,10.97500038,0
Western,-78.60393,-0.278618,3347,11.50417042,0
Western,-78.612715,-0.291951,3493,9.120833397,0
Western,-78.538307,-0.201642,3552,6.912499905,0
Western,-78.540331,-0.193738,3796,10.35000038,0
Western,-78.540212,-0.187979,3897,6.212500095,0
