torneo,k
FIFA World Cup,60
African Cup of Nations,50
Copa América,50
Gold Cup,50
UEFA Euro,50
African Nations Championship,50
Confederations Cup,50
Oceania Nations Cup,50
CONCACAF Championship,50
Pan American Championship,50
AFC Asian Cup,50
UEFA Nations League,50
CONCACAF Nations League,50
FIFA World Cup qualification,40
UEFA Euro qualification,40
African Cup of Nations qualification,40
AFC Asian Cup qualification,40
CECAFA Cup,40
AFF Championship,40
CFU Caribbean Cup,40
UNCAF Cup,40
SAFF Cup,40
EAFF Championship,40
UAFA Cup,40
CCCF Championship,40
AFC Challenge Cup,40
WAFF Championship,40
Oceania Nations Cup qualification,40
Gold Cup qualification,40
CONCACAF Championship qualification,40
NAFU Championship,40
Copa América qualification,40
COSAFA Cup,40
South Pacific Games,40
CFU Caribbean Cup qualification,30
Merdeka Tournament,30
Gulf Cup,30
Amílcar Cabral Cup,30
Nordic Championship,30
British Championship,30
Korea Cup,30
Windward Islands Tournament,30
AFC Challenge Cup qualification,30
Nehru Cup,30
Indonesia Tournament,30
Cyprus International Tournament,30
Kirin Cup,30
CONCACAF Nations League qualification,30
UDEAC Cup,30
African Nations Championship qualification,30
Vietnam Independence Cup,30
Baltic Cup,30
West African Cup,30
Malta International Tournament,30
Pacific Games,30
International Cup,30
Balkan Cup,30
Brazil Independence Cup,30
USA Cup,30
United Arab Emirates Friendship Tournament,30
Dynasty Cup,30
Lunar New Year Cup,30
Merlion Cup,30
Copa Paz del Chaco,30
Prime Minister's Cup,30
ABCS Tournament,30
Copa del Pacífico,30
Inter Games Football Tournament,30
Simba Tournament,30
Copa Carlos Dittborn,30
Copa Juan Pinto Durán,30
Copa Oswaldo Cruz,30
ELF Cup,30
Dunhill Cup,30
Millennium Cup,30
UNIFFAC Cup,30
Copa Rio Branco,30
GaNEFo,30
Intercontinental Cup,30
Nile Basin Tournament,30
Copa Artigas,30
Jordan International Tournament,30
King Hassan II Tournament,30
Atlantic Cup,30
Rous Cup,30
SKN Football Festival,30
Copa Bernardo O'Higgins,30
Copa Roca,30
Tournoi de France,30
Copa Chevallier Boutell,30
UAFA Cup qualification,30
VFF Cup,30
Mundialito,30
Copa Félix Bogado,30
Copa Lipton,30
Copa Ramón Castilla,30
Nations Cup,30
Copa Newton,30
Dragon Cup,30
OSN Cup,30
World Unity Cup,30
AFF Championship qualification,30
Atlantic Heritage Cup,30
Friendly,20
Island Games,0
King's Cup,0
CONIFA World Football Cup,0
Viva World Cup,0
CONIFA European Football Cup,0
FIFI Wild Cup,0
