fecha,visitas,descargas,dias,desDia,seccion
2023-01-31,616,676,213,3.1737089201877935,Música y Literatura
2023-02-16,672,481,197,2.4416243654822334,Música y Literatura
2023-03-17,301,218,168,1.2976190476190477,Música y Literatura
2023-04-20,275,174,134,1.2985074626865671,Música y Literatura
2023-02-10,510,286,203,1.4088669950738917,"Literatura, arte y performatividades en América Latina II"
2023-02-24,573,277,189,1.4656084656084656,"Literatura, arte y performatividades en América Latina II"
2023-03-11,442,292,174,1.6781609195402298,ARTICULOS
2023-04-11,489,206,143,1.4405594405594406,ARTICULOS
2023-07-07,272,146,56,2.607142857142857,ARTICULOS
2023-07-26,109,64,37,1.7297297297297298,Escritoras Andaluzas. Medio siglo de aportaciones literarias (1900-1950). II
2023-07-28,116,65,35,1.8571428571428572,Escritoras Andaluzas. Medio siglo de aportaciones literarias (1900-1950). II
