Date,Density,Strength
21-September-1992,2437,60.5
29-June-1992,2437,60.9
26-June-1992,2425,59.8
14-April-1992,2427,53.4
31-March-1992,2428,56.9
19-March-1992,2448,67.3
 9-March-1992,2456,68.9
 7-February-1992,2436,49.9
28-January-1992,2435,57.8
18-December-1991,2446,60.9
 6-December-1991,2441,61.9
 6-December-1991,2456,67.2
 6-December-1991,2444,64.9
 5-December-1991,2447,63.4
 4-December-1991,2433,60.5
 3-December-1991,2429,68.1
 2-December-1991,2435,68.3
22-October-1991,2471,65.7
18-October-1991,2472,61.5
14-October-1991,2445,60
 9-October-1991,2436,59.6
 7-October-1991,2450,60.5
 3-October-1991,2454,59.8
 2-October-1991,2449,56.7
30-September-1991,2441,57.9
27-September-1991,2457,60.2
23-September-1991,2447,55.8
20-September-1991,2436,53.2
17-September-1991,2458,61.1
13-September-1991,2415,50.7
10-September-1991,2448,59
 9-September-1991,2445,63.3
 6-September-1991,2436,52.5
 3-September-1991,2469,54.6
 2-September-1991,2455,56.3
29-August-1991,2473,64.9
23-August-1991,2488,69.5
12-July-1991,2454,58.9
 9-July-1991,2427,54.4
 8-July-1991,2411,58.8
