S,I,v
200,0,18.1
200,0,18.8
200,6.25,17.7
200,6.25,18.1
200,12.5,16.4
200,12.5,17.6
200,25,13.7
200,25,15.5
200,50,11
200,50,12.7
200,100,8.2
200,100,7.7
100,0,15.4
100,0,17.6
100,6.25,15.6
100,6.25,16.7
100,12.5,16.2
100,12.5,15.7
100,25,12.8
100,25,14.1
100,50,11.3
100,50,11.3
100,100,7.6
100,100,7.8
50,0,14.7
50,0,13.7
50,6.25,13.5
50,6.25,13.4
50,12.5,12.7
50,12.5,12.9
50,25,11.2
50,25,10.9
50,50,9.9
50,50,9.2
50,100,7.8
50,100,7.9
25,0,7.2
25,0,10.4
25,6.25,7.8
25,6.25,10.3
25,12.5,8.3
25,12.5,10.8
25,25,9.5
25,25,8.7
25,50,6
25,50,7.8
25,100,5.5
25,100,6.6
12.5,0,5.9
12.5,0,7.7
12.5,6.25,7.1
12.5,6.25,7.7
12.5,12.5,6.7
12.5,12.5,6.8
12.5,25,6.6
12.5,25,6.9
12.5,50,5.6
12.5,50,4.9
12.5,100,4.9
12.5,100,5.5
0,0,0
0,0,0
0,6.25,0
0,6.25,0
0,12.5,0
0,12.5,0
0,25,0
0,25,0
0,50,0
0,50,0
0,100,0
0,100,0
